item,example_id,criterion_name,ai_score,gold_score,max_score,ai_output,heatmap_file,question_key,question,teacher_id,rating_1_to_5
1,410_c0,Supervised Learning,2.5,2.0,2.5,"{""score"": 2.5, ""justification"": ""Score 2.5 based on the rubric.""}",heatmaps/410_c0.png,trust_score,I trust the score this AI assigned.,,
1,410_c0,Supervised Learning,2.5,2.0,2.5,"{""score"": 2.5, ""justification"": ""Score 2.5 based on the rubric.""}",heatmaps/410_c0.png,explanation_clear,The highlighted regions / justification make it clear WHY this score was given.,,
1,410_c0,Supervised Learning,2.5,2.0,2.5,"{""score"": 2.5, ""justification"": ""Score 2.5 based on the rubric.""}",heatmaps/410_c0.png,explanation_faithful,The highlighted regions match what I would look at when grading this criterion.,,
1,410_c0,Supervised Learning,2.5,2.0,2.5,"{""score"": 2.5, ""justification"": ""Score 2.5 based on the rubric.""}",heatmaps/410_c0.png,useful_workflow,This explanation would be useful in my own grading workflow.,,
1,410_c0,Supervised Learning,2.5,2.0,2.5,"{""score"": 2.5, ""justification"": ""Score 2.5 based on the rubric.""}",heatmaps/410_c0.png,would_adopt,"I would accept AI pre-grading with this kind of explanation, with teacher override.",,
2,27_c1,Purpose of Quantization,2.5,2.5,2.5,"{""score"": 2.5, ""justification"": ""Score 2.5 based on the rubric.""}",heatmaps/27_c1.png,trust_score,I trust the score this AI assigned.,,
2,27_c1,Purpose of Quantization,2.5,2.5,2.5,"{""score"": 2.5, ""justification"": ""Score 2.5 based on the rubric.""}",heatmaps/27_c1.png,explanation_clear,The highlighted regions / justification make it clear WHY this score was given.,,
2,27_c1,Purpose of Quantization,2.5,2.5,2.5,"{""score"": 2.5, ""justification"": ""Score 2.5 based on the rubric.""}",heatmaps/27_c1.png,explanation_faithful,The highlighted regions match what I would look at when grading this criterion.,,
2,27_c1,Purpose of Quantization,2.5,2.5,2.5,"{""score"": 2.5, ""justification"": ""Score 2.5 based on the rubric.""}",heatmaps/27_c1.png,useful_workflow,This explanation would be useful in my own grading workflow.,,
2,27_c1,Purpose of Quantization,2.5,2.5,2.5,"{""score"": 2.5, ""justification"": ""Score 2.5 based on the rubric.""}",heatmaps/27_c1.png,would_adopt,"I would accept AI pre-grading with this kind of explanation, with teacher override.",,
3,39_c2,Max-Lloyd Algorithm Explanation,2.5,1.5,2.5,"{""score"": 2.5, ""justification"": ""Score 2.5 based on the rubric.""}",heatmaps/39_c2.png,trust_score,I trust the score this AI assigned.,,
3,39_c2,Max-Lloyd Algorithm Explanation,2.5,1.5,2.5,"{""score"": 2.5, ""justification"": ""Score 2.5 based on the rubric.""}",heatmaps/39_c2.png,explanation_clear,The highlighted regions / justification make it clear WHY this score was given.,,
3,39_c2,Max-Lloyd Algorithm Explanation,2.5,1.5,2.5,"{""score"": 2.5, ""justification"": ""Score 2.5 based on the rubric.""}",heatmaps/39_c2.png,explanation_faithful,The highlighted regions match what I would look at when grading this criterion.,,
3,39_c2,Max-Lloyd Algorithm Explanation,2.5,1.5,2.5,"{""score"": 2.5, ""justification"": ""Score 2.5 based on the rubric.""}",heatmaps/39_c2.png,useful_workflow,This explanation would be useful in my own grading workflow.,,
3,39_c2,Max-Lloyd Algorithm Explanation,2.5,1.5,2.5,"{""score"": 2.5, ""justification"": ""Score 2.5 based on the rubric.""}",heatmaps/39_c2.png,would_adopt,"I would accept AI pre-grading with this kind of explanation, with teacher override.",,
4,169_c1,Explanation of normal forms(3),2.0,3.0,3.0,"{""score"": 2.0, ""justification"": ""Score 2 based on the rubric.""}",heatmaps/169_c1.png,trust_score,I trust the score this AI assigned.,,
4,169_c1,Explanation of normal forms(3),2.0,3.0,3.0,"{""score"": 2.0, ""justification"": ""Score 2 based on the rubric.""}",heatmaps/169_c1.png,explanation_clear,The highlighted regions / justification make it clear WHY this score was given.,,
4,169_c1,Explanation of normal forms(3),2.0,3.0,3.0,"{""score"": 2.0, ""justification"": ""Score 2 based on the rubric.""}",heatmaps/169_c1.png,explanation_faithful,The highlighted regions match what I would look at when grading this criterion.,,
4,169_c1,Explanation of normal forms(3),2.0,3.0,3.0,"{""score"": 2.0, ""justification"": ""Score 2 based on the rubric.""}",heatmaps/169_c1.png,useful_workflow,This explanation would be useful in my own grading workflow.,,
4,169_c1,Explanation of normal forms(3),2.0,3.0,3.0,"{""score"": 2.0, ""justification"": ""Score 2 based on the rubric.""}",heatmaps/169_c1.png,would_adopt,"I would accept AI pre-grading with this kind of explanation, with teacher override.",,
5,420_c3,"Example, Overall Clarity & Structure",2.5,2.0,2.5,"{""score"": 2.5, ""justification"": ""Score 2.5 based on the rubric.""}",heatmaps/420_c3.png,trust_score,I trust the score this AI assigned.,,
5,420_c3,"Example, Overall Clarity & Structure",2.5,2.0,2.5,"{""score"": 2.5, ""justification"": ""Score 2.5 based on the rubric.""}",heatmaps/420_c3.png,explanation_clear,The highlighted regions / justification make it clear WHY this score was given.,,
5,420_c3,"Example, Overall Clarity & Structure",2.5,2.0,2.5,"{""score"": 2.5, ""justification"": ""Score 2.5 based on the rubric.""}",heatmaps/420_c3.png,explanation_faithful,The highlighted regions match what I would look at when grading this criterion.,,
5,420_c3,"Example, Overall Clarity & Structure",2.5,2.0,2.5,"{""score"": 2.5, ""justification"": ""Score 2.5 based on the rubric.""}",heatmaps/420_c3.png,useful_workflow,This explanation would be useful in my own grading workflow.,,
5,420_c3,"Example, Overall Clarity & Structure",2.5,2.0,2.5,"{""score"": 2.5, ""justification"": ""Score 2.5 based on the rubric.""}",heatmaps/420_c3.png,would_adopt,"I would accept AI pre-grading with this kind of explanation, with teacher override.",,
6,337_c1,Step-by-Step Procedure,3.0,4.0,4.0,"{""score"": 3.0, ""justification"": ""Score 3 based on the rubric.""}",heatmaps/337_c1.png,trust_score,I trust the score this AI assigned.,,
6,337_c1,Step-by-Step Procedure,3.0,4.0,4.0,"{""score"": 3.0, ""justification"": ""Score 3 based on the rubric.""}",heatmaps/337_c1.png,explanation_clear,The highlighted regions / justification make it clear WHY this score was given.,,
6,337_c1,Step-by-Step Procedure,3.0,4.0,4.0,"{""score"": 3.0, ""justification"": ""Score 3 based on the rubric.""}",heatmaps/337_c1.png,explanation_faithful,The highlighted regions match what I would look at when grading this criterion.,,
6,337_c1,Step-by-Step Procedure,3.0,4.0,4.0,"{""score"": 3.0, ""justification"": ""Score 3 based on the rubric.""}",heatmaps/337_c1.png,useful_workflow,This explanation would be useful in my own grading workflow.,,
6,337_c1,Step-by-Step Procedure,3.0,4.0,4.0,"{""score"": 3.0, ""justification"": ""Score 3 based on the rubric.""}",heatmaps/337_c1.png,would_adopt,"I would accept AI pre-grading with this kind of explanation, with teacher override.",,
7,475_c2,Comparision,0.0,4.0,4.0,"{""score"": 0.0, ""justification"": ""Score 0 based on the rubric.""}",heatmaps/475_c2.png,trust_score,I trust the score this AI assigned.,,
7,475_c2,Comparision,0.0,4.0,4.0,"{""score"": 0.0, ""justification"": ""Score 0 based on the rubric.""}",heatmaps/475_c2.png,explanation_clear,The highlighted regions / justification make it clear WHY this score was given.,,
7,475_c2,Comparision,0.0,4.0,4.0,"{""score"": 0.0, ""justification"": ""Score 0 based on the rubric.""}",heatmaps/475_c2.png,explanation_faithful,The highlighted regions match what I would look at when grading this criterion.,,
7,475_c2,Comparision,0.0,4.0,4.0,"{""score"": 0.0, ""justification"": ""Score 0 based on the rubric.""}",heatmaps/475_c2.png,useful_workflow,This explanation would be useful in my own grading workflow.,,
7,475_c2,Comparision,0.0,4.0,4.0,"{""score"": 0.0, ""justification"": ""Score 0 based on the rubric.""}",heatmaps/475_c2.png,would_adopt,"I would accept AI pre-grading with this kind of explanation, with teacher override.",,
8,316_c2,Importance of Data Mining Marks=(4),4.0,4.0,4.0,"{""score"": 4.0, ""justification"": ""Score 4 based on the rubric.""}",heatmaps/316_c2.png,trust_score,I trust the score this AI assigned.,,
8,316_c2,Importance of Data Mining Marks=(4),4.0,4.0,4.0,"{""score"": 4.0, ""justification"": ""Score 4 based on the rubric.""}",heatmaps/316_c2.png,explanation_clear,The highlighted regions / justification make it clear WHY this score was given.,,
8,316_c2,Importance of Data Mining Marks=(4),4.0,4.0,4.0,"{""score"": 4.0, ""justification"": ""Score 4 based on the rubric.""}",heatmaps/316_c2.png,explanation_faithful,The highlighted regions match what I would look at when grading this criterion.,,
8,316_c2,Importance of Data Mining Marks=(4),4.0,4.0,4.0,"{""score"": 4.0, ""justification"": ""Score 4 based on the rubric.""}",heatmaps/316_c2.png,useful_workflow,This explanation would be useful in my own grading workflow.,,
8,316_c2,Importance of Data Mining Marks=(4),4.0,4.0,4.0,"{""score"": 4.0, ""justification"": ""Score 4 based on the rubric.""}",heatmaps/316_c2.png,would_adopt,"I would accept AI pre-grading with this kind of explanation, with teacher override.",,
9,316_def,Definition of Data Mining,3.0,3.0,4.0,"{""score"": 3.0, ""justification"": ""Score 3 based on the rubric.""}",heatmaps/316_def.png,trust_score,I trust the score this AI assigned.,,
9,316_def,Definition of Data Mining,3.0,3.0,4.0,"{""score"": 3.0, ""justification"": ""Score 3 based on the rubric.""}",heatmaps/316_def.png,explanation_clear,The highlighted regions / justification make it clear WHY this score was given.,,
9,316_def,Definition of Data Mining,3.0,3.0,4.0,"{""score"": 3.0, ""justification"": ""Score 3 based on the rubric.""}",heatmaps/316_def.png,explanation_faithful,The highlighted regions match what I would look at when grading this criterion.,,
9,316_def,Definition of Data Mining,3.0,3.0,4.0,"{""score"": 3.0, ""justification"": ""Score 3 based on the rubric.""}",heatmaps/316_def.png,useful_workflow,This explanation would be useful in my own grading workflow.,,
