model,regime,feature,mae_gap
internvl3,full,subject,2.386111111111111
ensemble,full,subject,1.9861111111111112
pixtral,lora,subject,1.7861111111111112
qwen25vl,full,subject,1.7861111111111112
internvl3,lora,subject,1.7361111111111112
ensemble,lora,subject,1.7125
donut,full,subject,1.6136363636363638
pixtral,full,subject,1.5166666666666668
qwen25vl,lora,subject,1.5
pixtral,zero_shot,subject,1.4333333333333333
qwen25vl,few_shot,subject,1.3583333333333332
donut,lora,subject,1.3482142857142858
internvl3,zero_shot,subject,1.3
ensemble,zero_shot,subject,1.297222222222222
qwen25vl,zero_shot,subject,1.2944444444444445
ensemble,few_shot,subject,1.2930555555555556
internvl3,few_shot,subject,1.2638888888888888
pixtral,few_shot,subject,1.2
donut,lora,criterion_type,1.1
donut,lora,criterion_scale_grp,0.7191810721145451
donut,full,criterion_scale_grp,0.6663982823403114
pixtral,zero_shot,criterion_type,0.6340620045821126
donut,full,criterion_type,0.625
pixtral,zero_shot,criterion_scale_grp,0.5802601706338808
internvl3,full,criterion_type,0.5726351351351351
pixtral,few_shot,criterion_scale_grp,0.5691792813245148
pixtral,few_shot,criterion_type,0.5595389521178835
internvl3,few_shot,criterion_scale_grp,0.5191911072469366
internvl3,zero_shot,criterion_scale_grp,0.5160856193377369
pixtral,full,criterion_scale_grp,0.47303453203407003
qwen25vl,zero_shot,criterion_type,0.46979332413696145
donut,full,handwriting_density_grp,0.46590909090909094
internvl3,few_shot,criterion_type,0.4558028630876768
pixtral,full,criterion_type,0.45242117117117114
ensemble,zero_shot,criterion_scale_grp,0.4463434251277314
ensemble,full,criterion_type,0.4424880777140679
internvl3,full,criterion_scale_grp,0.4273746455629253
internvl3,zero_shot,criterion_type,0.42120097898969466
qwen25vl,zero_shot,criterion_scale_grp,0.4160241252223387
pixtral,lora,criterion_scale_grp,0.403155156442774
ensemble,zero_shot,criterion_type,0.4023449934533367
qwen25vl,lora,answer_length_grp,0.3997032172628011
internvl3,lora,handwriting_density_grp,0.3949932795698925
qwen25vl,few_shot,criterion_type,0.3941971397172477
pixtral,zero_shot,answer_length_grp,0.3916067890632803
ensemble,few_shot,criterion_type,0.3912162176186784
donut,lora,handwriting_density_grp,0.3856102003642987
ensemble,full,criterion_scale_grp,0.38166745540209274
qwen25vl,full,criterion_scale_grp,0.3705629142478827
ensemble,few_shot,criterion_scale_grp,0.366790444995281
internvl3,lora,criterion_type,0.3642213642213642
pixtral,zero_shot,handwriting_density_grp,0.3617271505376344
ensemble,lora,handwriting_density_grp,0.36013104838709675
pixtral,lora,handwriting_density_grp,0.34963037634408606
qwen25vl,full,criterion_type,0.3421303670622396
pixtral,few_shot,handwriting_density_grp,0.3306451612903226
ensemble,lora,answer_length_grp,0.31858273408046234
internvl3,full,handwriting_density_grp,0.31149193548387094
internvl3,few_shot,handwriting_density_grp,0.31109068674199725
ensemble,lora,criterion_type,0.3095774345774346
ensemble,lora,criterion_scale_grp,0.30690397385053175
pixtral,lora,criterion_type,0.3068693693693694
internvl3,full,answer_length_grp,0.3065111231687466
internvl3,lora,criterion_scale_grp,0.30128666070010607
ensemble,few_shot,handwriting_density_grp,0.2943390264004412
qwen25vl,full,answer_length_grp,0.29061313076505696
qwen25vl,few_shot,criterion_scale_grp,0.287166509328299
ensemble,full,handwriting_density_grp,0.2849462365591398
pixtral,few_shot,answer_length_grp,0.281334780249593
qwen25vl,lora,handwriting_density_grp,0.2796538978494623
internvl3,lora,answer_length_grp,0.27417254476397185
qwen25vl,zero_shot,handwriting_density_grp,0.26865907700132674
qwen25vl,lora,criterion_scale_grp,0.2661281933396519
pixtral,full,handwriting_density_grp,0.26570900537634407
pixtral,lora,answer_length_grp,0.2599023331524688
ensemble,full,answer_length_grp,0.2594605847521274
qwen25vl,full,handwriting_density_grp,0.24865591397849462
internvl3,few_shot,answer_length_grp,0.2478468904338068
pixtral,full,answer_length_grp,0.24782359631101525
ensemble,zero_shot,handwriting_density_grp,0.2392314995187208
internvl3,zero_shot,handwriting_density_grp,0.23228968960208873
qwen25vl,few_shot,handwriting_density_grp,0.23140417504054245
qwen25vl,lora,criterion_type,0.1818425568425569
qwen25vl,zero_shot,answer_length_grp,0.15875767941004681
internvl3,zero_shot,answer_length_grp,0.14511665762344006
donut,lora,answer_length_grp,0.1428571428571429
qwen25vl,few_shot,answer_length_grp,0.13778621812262615
ensemble,zero_shot,answer_length_grp,0.1311720021703744
ensemble,few_shot,answer_length_grp,0.0993886235544873
donut,full,answer_length_grp,0.03888888888888886
donut,few_shot,answer_length_grp,
donut,few_shot,criterion_scale_grp,
donut,few_shot,criterion_type,
donut,few_shot,handwriting_density_grp,
donut,few_shot,subject,
donut,zero_shot,answer_length_grp,
donut,zero_shot,criterion_scale_grp,
donut,zero_shot,criterion_type,
donut,zero_shot,handwriting_density_grp,
donut,zero_shot,subject,
