example_id,criterion_index,criterion_name,max_score,rater_id,score
440_c0,0,Supervised Learning,2.5,rater2,2.5
440_c1,1,Unsupervised Learning,2.5,rater2,2.5
440_c2,2,Reinforcement Learning,2.5,rater2,2.5
440_c3,3,"Example, Overall Clarity & Structure",2.5,rater2,2.5
117_c0,0,Defintion of climate and weather,2,rater2,1.75
117_c1,1,Name of the climate variables,2,rater2,2
117_c2,2,Hemato-biochemical changes in rohu due to an increase of temparature,2,rater2,1.75
343_c0,0,Understanding of Concept,4,rater2,3
343_c1,1,Step-by-Step Procedure,4,rater2,3.5
343_c2,2,Accuracy of Final Answer,4,rater2,2.5
343_c3,3,Clarity & Presentation,4,rater2,3.5
99_c0,0,Concept of Histogram Equalization,4,rater2,4
99_c1,1,Necessity of Histogram Equalization,4,rater2,4
99_c2,2,Concept of Histogram Matching,4,rater2,4
99_c3,3,Necessity of Histogram Matching,4,rater2,4
189_c0,0,Understanding of schema and instance (2),2,rater2,1.5
189_c1,1,Explanation of different types of keys with examples (4),4,rater2,3
189_c2,2,Correct identification of keys in given relation (2),2,rater2,1
189_c3,3,Clear and organized writing (2),2,rater2,1.5
405_c0,0,Supervised Learning,2.5,rater2,2.5
405_c1,1,Unsupervised Learning,2.5,rater2,2.5
405_c2,2,Reinforcement Learning,2.5,rater2,2.5
405_c3,3,"Example, Overall Clarity & Structure",2.5,rater2,2.5
337_c0,0,Understanding of Concept,4,rater2,3.5
337_c1,1,Step-by-Step Procedure,4,rater2,3.5
337_c2,2,Accuracy of Final Answer,4,rater2,3
337_c3,3,Clarity & Presentation,4,rater2,3.5
410_c0,0,Supervised Learning,2.5,rater2,2.5
410_c1,1,Unsupervised Learning,2.5,rater2,2.5
410_c2,2,Reinforcement Learning,2.5,rater2,2.5
410_c3,3,"Example, Overall Clarity & Structure",2.5,rater2,2.5
463_c0,0,Supervised Learning,2.5,rater2,2.5
463_c1,1,Unsupervised Learning,2.5,rater2,2.5
463_c2,2,Reinforcement Learning,2.5,rater2,2.5
463_c3,3,"Example, Overall Clarity & Structure",2.5,rater2,2.5
470_c0,0,Definition of Method Overloading,4,rater2,4
470_c1,1,Definition of Method Overriding,4,rater2,4
470_c2,2,Comparision,4,rater2,4
470_ex,3,Example / Application,4,rater2,3
320_def,0,Definition of Data Mining,4,rater2,0
320_kdd,1,KDD Process Steps,4,rater2,0
320_c2,2,Importance of Data Mining Marks=(4),4,rater2,0
320_ex,3,Example / Application,4,rater2,0
142_c0,0,Understanding of normalization and related problems(3),3,rater2,2
142_c1,1,Explanation of normal forms(3),3,rater2,1.5
142_c2,2,Use of example(2),2,rater2,1.5
142_c3,3,Clear and organized writing(2),2,rater2,1.5
103_c0,0,Concept of Histogram Equalization,4,rater2,3.5
103_c1,1,Necessity of Histogram Equalization,4,rater2,3.5
103_c2,2,Concept of Histogram Matching,4,rater2,4
103_c3,3,Necessity of Histogram Matching,4,rater2,3.5
