step,status,seconds
qwen25vl/zero_shot,ok,363.3
internvl3/zero_shot,ok,348.0
pixtral/zero_shot,ok,327.1
donut/zero_shot,ok,52.2
ensemble/zero_shot,ok,6.2
qwen25vl/few_shot,ok,629.0
internvl3/few_shot,ok,592.3
pixtral/few_shot,ok,1056.4
donut/few_shot,ok,67.9
ensemble/few_shot,ok,6.3
qwen25vl/lora,ok,6617.6
internvl3/lora,ok,9003.9
pixtral/lora,ok,6764.8
donut/lora,ok,365.7
ensemble/lora,ok,6.1
qwen25vl/full,ok,5087.6
internvl3/full,ok,6355.4
pixtral/full,ok,4995.1
donut/full,ok,376.8
ensemble/full,ok,6.1
qwen25vl/reliability,ok,1533.1
internvl3/reliability,ok,1423.9
pixtral/reliability,ok,1993.7
donut/reliability,ok,209.9
study1_accuracy.py,ok,4.8
study2_human_agreement.py,ok,16.2
study3_reliability.py,ok,2.6
study4_fairness_error.py,ok,13.0
study5_xai_eval.py,ok,741.8
