comparison,model,regime,rater_a,rater_b,n,qwk,linear_kappa,cohen_kappa,mae,rmse,exact_agreement,adjacent_agreement,bias,pearson,spearman,qwk_ci_lo,qwk_ci_hi,mae_ci_lo,mae_ci_hi
donut/full vs gold,donut,full,donut/full,gold,150,0.2945163277880468,0.22151210225727502,0.11939083933968841,0.7633333333333333,1.0700467279516348,0.32666666666666666,0.82,0.09,0.37205821120815863,0.39307971621781074,0.14258273902505095,0.43479510339930455,0.6499166666666667,0.88
donut/lora vs gold,donut,lora,donut/lora,gold,152,0.07963572950978492,0.05706783369803059,0.015522054718034473,0.9325657894736842,1.2208778657826076,0.23684210526315788,0.7236842105263158,-0.018092105263157895,0.10769483255678636,0.12504798454846822,-0.052426159184891255,0.20487522102358624,0.8042763157894737,1.0559621710526315
ensemble/few_shot vs gold,ensemble,few_shot,ensemble/few_shot,gold,291,0.5704822465786289,0.36481198149523775,0.055926971826361194,0.7871134018979941,1.0072802001607177,0.15120274914089346,0.7422680412371134,-0.3025773194237673,0.6013237547696436,0.6273305113254181,0.4916049526769514,0.6411100650705093,0.7125386594701878,0.8601460479379109
ensemble/full vs gold,ensemble,full,ensemble/full,gold,291,0.7121207941006065,0.6236221573039991,0.39762817345317103,0.47697594485332057,0.8511968528935653,0.46735395189003437,0.9312714776632303,0.11580756030131861,0.7169442424657463,0.7224588266754155,0.6139014344121994,0.7970086299141659,0.39963917508977387,0.5584235395148038
ensemble/lora vs gold,ensemble,lora,ensemble/lora,gold,291,0.732256315378822,0.6511050083171165,0.45483424289321495,0.4417525771557261,0.8202809424593627,0.5257731958762887,0.9312714776632303,0.00326460497485813,0.7331388886004442,0.7431103773289516,0.639490013203241,0.8146724761941766,0.3659707903657172,0.5211469067331032
ensemble/zero_shot vs gold,ensemble,zero_shot,ensemble/zero_shot,gold,291,0.5754529525741963,0.3981124126767105,0.08093017057569296,0.6908934706265164,0.9351893058543287,0.18556701030927836,0.8350515463917526,0.1304123712978822,0.6063570085265233,0.6166488987476274,0.4881156934333249,0.6563617015697509,0.6194072164825558,0.7630627146086743
internvl3/few_shot vs gold,internvl3,few_shot,internvl3/few_shot,gold,291,0.4634605532810121,0.2858046469301685,0.037034429345912834,0.9786941579117399,1.2536064809963106,0.19243986254295534,0.7250859106529209,-0.5697594500079597,0.5212677371194674,0.5396521666626148,0.37985148834068605,0.5464882432406072,0.8891623711258275,1.0663445015543513
internvl3/full vs gold,internvl3,full,internvl3/full,gold,291,0.6290236646934051,0.6077853454246032,0.5063681868743048,0.5096219929632863,0.9958504972936963,0.5807560137457045,0.9312714776632303,0.10206185583396465,0.6315161053856211,0.6462302819735638,0.5025726601615935,0.7377687151513204,0.41717353903550874,0.6161512025852793
internvl3/lora vs gold,internvl3,lora,internvl3/lora,gold,291,0.7074574526999236,0.6490698578409595,0.5267828354338104,0.4477663228601934,0.8689271339777872,0.6013745704467354,0.9381443298969072,-0.002749140729609224,0.7076213475730907,0.7333967514239295,0.6039257584550364,0.8004540047722309,0.3661297249220491,0.5316194151685
internvl3/zero_shot vs gold,internvl3,zero_shot,internvl3/zero_shot,gold,291,0.507416807588027,0.3510756392292864,0.11180988344855969,0.7424398627068168,1.0138516602881218,0.2611683848797251,0.8487972508591065,0.04518900360028768,0.5266721818129719,0.5198642957249165,0.40546344705423043,0.6006997454267641,0.6618341927675856,0.8256056701071892
pixtral/few_shot vs gold,pixtral,few_shot,pixtral/few_shot,gold,291,0.4323516662166046,0.31527115622153035,0.1360237519243458,0.7957044671900904,1.0913239538498238,0.25773195876288657,0.7835051546391752,-0.05171821289455768,0.4480771470457801,0.4668555824581557,0.3269452129237332,0.5257232230925308,0.7115120273275474,0.8850515462278911
pixtral/full vs gold,pixtral,full,pixtral/full,gold,291,0.5523991376526439,0.5133943243757755,0.40735660847880306,0.6565292094581315,1.1292388640624071,0.4948453608247423,0.8591065292096219,-0.2046391750938704,0.5616823758766065,0.5954300780367385,0.43329328485012514,0.6651034193307207,0.554063573879065,0.764776632138544
pixtral/lora vs gold,pixtral,lora,pixtral/lora,gold,291,0.6587346459886931,0.6023217368943095,0.4732403457566233,0.5113402060217055,0.9429882310302355,0.5567010309278351,0.9312714776632303,-0.0800687283584752,0.660425801668427,0.6808620655027077,0.546694888462008,0.7587684062526686,0.4235223367656629,0.6067096218210725
pixtral/zero_shot vs gold,pixtral,zero_shot,pixtral/zero_shot,gold,291,0.48312644848985553,0.3882646214005898,0.2026624967133942,0.7175257730320147,1.0577646143084605,0.31958762886597936,0.845360824742268,0.18797250875492685,0.5056733423618024,0.5378619029430954,0.381505550699544,0.5850767507089563,0.6298969070526332,0.8077362541275745
qwen25vl/few_shot vs gold,qwen25vl,few_shot,qwen25vl/few_shot,gold,291,0.5859901804077938,0.4333410450148901,0.1778615925753274,0.6797250857467914,0.9666696288780701,0.3127147766323024,0.8831615120274914,-0.05532646031723809,0.5954039922355913,0.6141825211667148,0.49109353137818534,0.6699888094253504,0.6010223367615664,0.7625859103333907
qwen25vl/full vs gold,qwen25vl,full,qwen25vl/full,gold,291,0.7035163330375553,0.6218056703761614,0.47006235858948187,0.48728522320383605,0.8829036755192072,0.5463917525773195,0.9381443298969072,0.14845360841128424,0.7095069021276394,0.7136601404323285,0.5953621376760233,0.7914875217267147,0.4072164948453608,0.5742439859306688
qwen25vl/lora vs gold,qwen25vl,lora,qwen25vl/lora,gold,291,0.726684650019856,0.6626997811389295,0.5366436203645506,0.43487972492204907,0.846871136234614,0.6082474226804123,0.9381443298969072,0.013573883325373595,0.7267436218016292,0.7285219283629166,0.6307157272649745,0.8086306886313671,0.3517182127306961,0.5216666665069015
qwen25vl/zero_shot vs gold,qwen25vl,zero_shot,qwen25vl/zero_shot,gold,291,0.5991244890694347,0.43635259290887196,0.16082519964507536,0.6640893469151762,0.9378312701710355,0.2852233676975945,0.8865979381443299,0.2053264606449612,0.6269447624814376,0.6436290571863491,0.5132031975876478,0.6815980443640492,0.5877963914330473,0.7433161510388875
