model,example_id,criterion_index,run0,run1,run2,run3,run4,mean,std,range
qwen25vl,101_c0,0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0
qwen25vl,101_c1,1,1.0,2.0,1.0,1.0,2.0,1.4,0.5477225575051661,1.0
qwen25vl,101_c2,2,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0
qwen25vl,101_c3,3,2.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0
qwen25vl,103_c0,0,3.0,3.0,2.0,1.0,2.0,2.2,0.8366600265340756,2.0
qwen25vl,103_c1,1,1.0,2.0,2.0,2.0,3.0,2.0,0.7071067811865476,2.0
qwen25vl,103_c2,2,2.0,3.0,2.0,2.0,2.0,2.2,0.44721359549995787,1.0
qwen25vl,103_c3,3,2.0,1.0,2.0,3.0,2.0,2.0,0.7071067811865476,2.0
qwen25vl,106_c0,0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
qwen25vl,106_c1,1,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
qwen25vl,106_c2,2,2.0,1.75,1.75,2.0,1.75,1.85,0.13693063937629155,0.25
qwen25vl,110_c0,0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
qwen25vl,110_c1,1,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
qwen25vl,110_c2,2,1.75,1.75,1.75,1.25,1.0,1.5,0.3535533905932738,0.75
qwen25vl,117_c0,0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
qwen25vl,117_c1,1,1.25,1.75,1.75,2.0,1.75,1.7,0.27386127875258304,0.75
qwen25vl,117_c2,2,1.75,1.75,1.75,2.0,1.75,1.8,0.11180339887498948,0.25
qwen25vl,119_c0,0,2.0,2.0,2.0,1.75,2.0,1.95,0.11180339887498948,0.25
qwen25vl,119_c1,1,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
qwen25vl,119_c2,2,1.75,1.75,2.0,1.75,1.75,1.8,0.11180339887498948,0.25
qwen25vl,122_c0,0,2.0,2.0,1.75,1.75,2.0,1.9,0.13693063937629155,0.25
qwen25vl,122_c1,1,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
qwen25vl,122_c2,2,1.25,1.75,1.75,1.75,1.75,1.65,0.22360679774997894,0.5
qwen25vl,127_c0,0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
qwen25vl,127_c1,1,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
qwen25vl,127_c2,2,1.75,1.75,1.75,1.75,1.75,1.75,0.0,0.0
qwen25vl,12_c0,0,2.0,2.0,1.0,2.0,2.0,1.8,0.4472135954999579,1.0
qwen25vl,12_c1,1,1.0,0.0,0.0,0.0,1.0,0.4,0.5477225575051662,1.0
qwen25vl,12_c2,2,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0
qwen25vl,12_c3,3,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0
qwen25vl,142_c0,0,2.5,2.0,3.0,2.5,2.0,2.4,0.4183300132670378,1.0
qwen25vl,142_c1,1,2.0,1.0,1.0,1.0,1.0,1.2,0.44721359549995804,1.0
qwen25vl,142_c2,2,2.0,1.5,2.0,1.5,1.0,1.6,0.4183300132670378,1.0
qwen25vl,142_c3,3,1.5,1.0,1.0,1.0,1.0,1.1,0.22360679774997894,0.5
qwen25vl,143_c0,0,1.5,2.0,1.5,1.5,1.5,1.6,0.22360679774997894,0.5
qwen25vl,143_c1,1,0.0,1.0,1.0,0.0,0.0,0.4,0.5477225575051662,1.0
qwen25vl,143_c2,2,1.5,1.0,1.0,1.0,1.0,1.1,0.22360679774997894,0.5
qwen25vl,143_c3,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
qwen25vl,144_c0,0,2.0,2.5,2.0,2.5,2.5,2.3,0.2738612787525831,0.5
qwen25vl,144_c1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
qwen25vl,144_c2,2,2.0,1.0,1.0,1.5,1.0,1.3,0.4472135954999579,1.0
qwen25vl,144_c3,3,1.5,1.0,1.0,1.0,1.0,1.1,0.22360679774997894,0.5
qwen25vl,146_c0,0,2.5,2.5,1.5,1.5,2.5,2.1,0.5477225575051661,1.0
qwen25vl,146_c1,1,1.5,2.0,1.0,2.0,2.0,1.7,0.4472135954999579,1.0
qwen25vl,146_c2,2,1.5,2.0,1.5,2.0,2.0,1.8,0.27386127875258304,0.5
qwen25vl,146_c3,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
qwen25vl,147_c0,0,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0
qwen25vl,147_c1,1,2.0,1.5,2.0,2.0,1.5,1.8,0.27386127875258304,0.5
qwen25vl,147_c2,2,2.0,1.0,2.0,2.0,1.0,1.6,0.5477225575051661,1.0
qwen25vl,147_c3,3,1.0,1.0,1.0,1.5,1.0,1.1,0.22360679774997896,0.5
qwen25vl,150_c0,0,2.5,2.0,2.5,2.5,3.0,2.5,0.3535533905932738,1.0
qwen25vl,150_c1,1,2.0,1.0,2.0,2.0,2.0,1.8,0.44721359549995804,1.0
qwen25vl,150_c2,2,2.0,2.0,2.0,1.5,1.5,1.8,0.27386127875258304,0.5
qwen25vl,150_c3,3,1.0,1.0,1.0,1.5,1.5,1.2,0.27386127875258304,0.5
qwen25vl,161_c0,0,3.0,3.0,3.0,2.5,3.0,2.9,0.22360679774997896,0.5
qwen25vl,161_c1,1,2.0,1.5,1.0,1.5,1.0,1.4,0.4183300132670378,1.0
