criterion_type,failure_class,count,model,regime,share
application,parse_failure,74,donut,few_shot,0.2542955326460481
definition_theory,parse_failure,126,donut,few_shot,0.4329896907216495
diagram,parse_failure,9,donut,few_shot,0.030927835051546393
numerical,parse_failure,48,donut,few_shot,0.16494845360824742
structure_clarity,parse_failure,34,donut,few_shot,0.11683848797250859
application,correct,23,donut,full,0.07903780068728522
application,overscore_adjacent,9,donut,full,0.030927835051546393
application,overscore_large,9,donut,full,0.030927835051546393
application,parse_failure,27,donut,full,0.09278350515463918
application,underscore_adjacent,1,donut,full,0.003436426116838488
application,underscore_large,5,donut,full,0.01718213058419244
definition_theory,correct,14,donut,full,0.048109965635738834
definition_theory,overscore_adjacent,16,donut,full,0.054982817869415807
definition_theory,overscore_large,3,donut,full,0.010309278350515464
definition_theory,parse_failure,62,donut,full,0.21305841924398625
definition_theory,underscore_adjacent,28,donut,full,0.09621993127147767
definition_theory,underscore_large,3,donut,full,0.010309278350515464
diagram,correct,2,donut,full,0.006872852233676976
diagram,overscore_adjacent,1,donut,full,0.003436426116838488
diagram,parse_failure,3,donut,full,0.010309278350515464
diagram,underscore_adjacent,3,donut,full,0.010309278350515464
numerical,correct,4,donut,full,0.013745704467353952
numerical,overscore_adjacent,3,donut,full,0.010309278350515464
numerical,overscore_large,1,donut,full,0.003436426116838488
numerical,parse_failure,32,donut,full,0.10996563573883161
numerical,underscore_adjacent,4,donut,full,0.013745704467353952
numerical,underscore_large,4,donut,full,0.013745704467353952
structure_clarity,correct,6,donut,full,0.020618556701030927
structure_clarity,overscore_adjacent,10,donut,full,0.03436426116838488
structure_clarity,parse_failure,17,donut,full,0.058419243986254296
structure_clarity,underscore_adjacent,1,donut,full,0.003436426116838488
application,correct,13,donut,lora,0.044673539518900345
application,overscore_adjacent,5,donut,lora,0.01718213058419244
application,overscore_large,11,donut,lora,0.037800687285223365
application,parse_failure,36,donut,lora,0.12371134020618557
application,underscore_adjacent,6,donut,lora,0.020618556701030927
application,underscore_large,3,donut,lora,0.010309278350515464
definition_theory,correct,18,donut,lora,0.061855670103092786
definition_theory,overscore_adjacent,26,donut,lora,0.08934707903780069
definition_theory,overscore_large,4,donut,lora,0.013745704467353952
definition_theory,parse_failure,43,donut,lora,0.14776632302405499
definition_theory,underscore_adjacent,31,donut,lora,0.10652920962199312
definition_theory,underscore_large,4,donut,lora,0.013745704467353952
diagram,correct,2,donut,lora,0.006872852233676976
diagram,overscore_adjacent,1,donut,lora,0.003436426116838488
diagram,parse_failure,4,donut,lora,0.013745704467353952
diagram,underscore_adjacent,1,donut,lora,0.003436426116838488
diagram,underscore_large,1,donut,lora,0.003436426116838488
numerical,correct,1,donut,lora,0.003436426116838488
numerical,overscore_adjacent,1,donut,lora,0.003436426116838488
numerical,overscore_large,1,donut,lora,0.003436426116838488
numerical,parse_failure,32,donut,lora,0.10996563573883161
numerical,underscore_adjacent,2,donut,lora,0.006872852233676976
numerical,underscore_large,11,donut,lora,0.037800687285223365
structure_clarity,correct,2,donut,lora,0.006872852233676976
structure_clarity,overscore_adjacent,8,donut,lora,0.027491408934707903
structure_clarity,parse_failure,24,donut,lora,0.08247422680412371
application,parse_failure,74,donut,zero_shot,0.2542955326460481
definition_theory,parse_failure,126,donut,zero_shot,0.4329896907216495
diagram,parse_failure,9,donut,zero_shot,0.030927835051546393
numerical,parse_failure,48,donut,zero_shot,0.16494845360824742
structure_clarity,parse_failure,34,donut,zero_shot,0.11683848797250859
application,correct,11,ensemble,few_shot,0.037800687285223365
application,overscore_adjacent,10,ensemble,few_shot,0.03436426116838488
application,overscore_large,10,ensemble,few_shot,0.03436426116838488
application,underscore_adjacent,42,ensemble,few_shot,0.14432989690721648
application,underscore_large,1,ensemble,few_shot,0.003436426116838488
definition_theory,correct,19,ensemble,few_shot,0.06529209621993128
definition_theory,overscore_adjacent,21,ensemble,few_shot,0.07216494845360824
definition_theory,overscore_large,2,ensemble,few_shot,0.006872852233676976
definition_theory,underscore_adjacent,78,ensemble,few_shot,0.26804123711340205
definition_theory,underscore_large,6,ensemble,few_shot,0.020618556701030927
diagram,correct,2,ensemble,few_shot,0.006872852233676976
diagram,overscore_adjacent,1,ensemble,few_shot,0.003436426116838488
diagram,underscore_adjacent,6,ensemble,few_shot,0.020618556701030927
numerical,correct,8,ensemble,few_shot,0.027491408934707903
numerical,overscore_adjacent,11,ensemble,few_shot,0.037800687285223365
numerical,overscore_large,1,ensemble,few_shot,0.003436426116838488
numerical,underscore_adjacent,26,ensemble,few_shot,0.08934707903780069
numerical,underscore_large,2,ensemble,few_shot,0.006872852233676976
structure_clarity,correct,4,ensemble,few_shot,0.013745704467353952
structure_clarity,overscore_adjacent,13,ensemble,few_shot,0.044673539518900345
structure_clarity,underscore_adjacent,17,ensemble,few_shot,0.058419243986254296
application,correct,34,ensemble,full,0.11683848797250859
application,overscore_adjacent,12,ensemble,full,0.041237113402061855
application,overscore_large,8,ensemble,full,0.027491408934707903
application,underscore_adjacent,17,ensemble,full,0.058419243986254296
application,underscore_large,3,ensemble,full,0.010309278350515464
definition_theory,correct,61,ensemble,full,0.20962199312714777
