example_id,criterion_index,criterion_name,max_score,rater_id,score,answer_id,image_file,question,model_answer,rubric_levels
440_c0,0,Supervised Learning,2.5,rater2,,440,images/440.png,"Describe Supervised, Unsupervised, and Reinforcement Machine Learning.","Supervised Learning:
Supervised learning is a type of machine learning in which the model is trained using labeled data. Each input is associated with a correct output, and the model learns to map inputs to outputs by minimizing error using a loss function.
Examples include spam detection, image classification, and regression tasks.
Unsupervised Learning:
Unsupervised learning is a type of machine learning where the model is trained on unlabeled data. It identifies hidden patterns, structures, or relationships within the data.
Common techniques include clustering and dimensionality reduction.
Examples include customer segmentation and anomaly detection.
Reinforcement Learning:
Reinforcement learning is a type of machine learning where an agent interacts with an environment and learns by receiving rewards or penalties. The objective is to learn an optimal policy that maximizes cumulative reward over time.
Examples include game playing, robotics, and self-driving systems.
Rubrics for Machine Learning",Excellent (2.5): Defines clearly AND includes key idea (labeled data + prediction/learning) AND example | Good (2): Correct definition but missing either key idea or example | Average (1.5): Partial understanding (only labeled data mentioned) | Poor (1): Incorrect or missing definition
440_c1,1,Unsupervised Learning,2.5,rater2,,440,images/440.png,"Describe Supervised, Unsupervised, and Reinforcement Machine Learning.","Supervised Learning:
Supervised learning is a type of machine learning in which the model is trained using labeled data. Each input is associated with a correct output, and the model learns to map inputs to outputs by minimizing error using a loss function.
Examples include spam detection, image classification, and regression tasks.
Unsupervised Learning:
Unsupervised learning is a type of machine learning where the model is trained on unlabeled data. It identifies hidden patterns, structures, or relationships within the data.
Common techniques include clustering and dimensionality reduction.
Examples include customer segmentation and anomaly detection.
Reinforcement Learning:
Reinforcement learning is a type of machine learning where an agent interacts with an environment and learns by receiving rewards or penalties. The objective is to learn an optimal policy that maximizes cumulative reward over time.
Examples include game playing, robotics, and self-driving systems.
Rubrics for Machine Learning","Excellent (2.5): Clearly states no labels AND mentions pattern discovery (e.g., clustering) with example | Good (2): Correct but lacks example or clarity | Average (1.5): Mentions no labels but no understanding of purpose | Poor (1): Incorrect or missing definition"
440_c2,2,Reinforcement Learning,2.5,rater2,,440,images/440.png,"Describe Supervised, Unsupervised, and Reinforcement Machine Learning.","Supervised Learning:
Supervised learning is a type of machine learning in which the model is trained using labeled data. Each input is associated with a correct output, and the model learns to map inputs to outputs by minimizing error using a loss function.
Examples include spam detection, image classification, and regression tasks.
Unsupervised Learning:
Unsupervised learning is a type of machine learning where the model is trained on unlabeled data. It identifies hidden patterns, structures, or relationships within the data.
Common techniques include clustering and dimensionality reduction.
Examples include customer segmentation and anomaly detection.
Reinforcement Learning:
Reinforcement learning is a type of machine learning where an agent interacts with an environment and learns by receiving rewards or penalties. The objective is to learn an optimal policy that maximizes cumulative reward over time.
Examples include game playing, robotics, and self-driving systems.
Rubrics for Machine Learning","Excellent (2.5): Clearly explains agent, environment, reward mechanism AND goal of maximizing reward | Good (2): Mentions reward-based learning but lacks full explanation | Average (1.5): Partial idea (trial-and-error only) | Poor (1): Incorrect or missing definition"
440_c3,3,"Example, Overall Clarity & Structure",2.5,rater2,,440,images/440.png,"Describe Supervised, Unsupervised, and Reinforcement Machine Learning.","Supervised Learning:
Supervised learning is a type of machine learning in which the model is trained using labeled data. Each input is associated with a correct output, and the model learns to map inputs to outputs by minimizing error using a loss function.
Examples include spam detection, image classification, and regression tasks.
Unsupervised Learning:
Unsupervised learning is a type of machine learning where the model is trained on unlabeled data. It identifies hidden patterns, structures, or relationships within the data.
Common techniques include clustering and dimensionality reduction.
Examples include customer segmentation and anomaly detection.
Reinforcement Learning:
Reinforcement learning is a type of machine learning where an agent interacts with an environment and learns by receiving rewards or penalties. The objective is to learn an optimal policy that maximizes cumulative reward over time.
Examples include game playing, robotics, and self-driving systems.
Rubrics for Machine Learning",Excellent (2.5): All three types clearly distinguished and well-organized | Good (2): Mostly clear but slight confusion between types | Average (1.5): Some mixing of concepts | Poor (1): Poor or unclear explanation
117_c0,0,Defintion of climate and weather,2.0,rater2,,117,images/117.png,"1. What do you mean by climate and weather?  2. Mention the climate variables. 3. Increased water temperature altered hemato-biochemical parameters in rohu, explain.","1. Definition of climate and weather: Climate: Climate is defined as an area's long-term weather patterns. The simplest way to describe climate is to look at average temperature and precipitation over time. It takes a long time to change.  Weather: Weather is the state of the atmosphere at a particular place during a short period of time. It can change within a short period of time, like minutes or hours.
2. Climate variables: Climate variable can be cassified into three categories such as physical, chemical, and biological. Some climate variables that are measured as follows:
3. Hemato-biochemical changes in rohu due to an increase of temparature  In rohu (Labeo rohita), increased water temperature causes thermal stress, which changes  normal blood and biochemical conditions. Usually, hemoglobin, RBC, glucose may rise at first because the fish needs more oxygen and energy to cope with stress,  while total protein and some ions may decrease due to disturbed metabolism and osmotic  imbalance.  Erythrocytic cellular abnormalities (ECA), erythrocytic nuclear abnormalities (ENA) may may also rise due to elevated temparature.  So, higher temperature alters hemato-biochemical parameters by affecting the  fish’s respiration, metabolism, and stress response.
Rubrics","Excellent (2): Clear concept with correct spelling and sentence structure | Good (1.75): Clear concept but average sentence structure and spelling | Average (1.25-1.5): Incomplete definition, with one correct definition but the rest incorrect. | Poor (=<1): Incomplete definition of both along with poor sentence structure"
117_c1,1,Name of the climate variables,2.0,rater2,,117,images/117.png,"1. What do you mean by climate and weather?  2. Mention the climate variables. 3. Increased water temperature altered hemato-biochemical parameters in rohu, explain.","1. Definition of climate and weather: Climate: Climate is defined as an area's long-term weather patterns. The simplest way to describe climate is to look at average temperature and precipitation over time. It takes a long time to change.  Weather: Weather is the state of the atmosphere at a particular place during a short period of time. It can change within a short period of time, like minutes or hours.
2. Climate variables: Climate variable can be cassified into three categories such as physical, chemical, and biological. Some climate variables that are measured as follows:
3. Hemato-biochemical changes in rohu due to an increase of temparature  In rohu (Labeo rohita), increased water temperature causes thermal stress, which changes  normal blood and biochemical conditions. Usually, hemoglobin, RBC, glucose may rise at first because the fish needs more oxygen and energy to cope with stress,  while total protein and some ions may decrease due to disturbed metabolism and osmotic  imbalance.  Erythrocytic cellular abnormalities (ECA), erythrocytic nuclear abnormalities (ENA) may may also rise due to elevated temparature.  So, higher temperature alters hemato-biochemical parameters by affecting the  fish’s respiration, metabolism, and stress response.
Rubrics","Excellent (2): Mention all the 6 variables correctly | Good (1.75): Mention 4 or 5 variables correctly | Average (1.25-1.5): Mention 3 or 4 variables correctly  | Poor (=<1): Mention 1 or 2 variables, or answer irrelevant variables"
117_c2,2,Hemato-biochemical changes in rohu due to an increase of temparature,2.0,rater2,,117,images/117.png,"1. What do you mean by climate and weather?  2. Mention the climate variables. 3. Increased water temperature altered hemato-biochemical parameters in rohu, explain.","1. Definition of climate and weather: Climate: Climate is defined as an area's long-term weather patterns. The simplest way to describe climate is to look at average temperature and precipitation over time. It takes a long time to change.  Weather: Weather is the state of the atmosphere at a particular place during a short period of time. It can change within a short period of time, like minutes or hours.
2. Climate variables: Climate variable can be cassified into three categories such as physical, chemical, and biological. Some climate variables that are measured as follows:
3. Hemato-biochemical changes in rohu due to an increase of temparature  In rohu (Labeo rohita), increased water temperature causes thermal stress, which changes  normal blood and biochemical conditions. Usually, hemoglobin, RBC, glucose may rise at first because the fish needs more oxygen and energy to cope with stress,  while total protein and some ions may decrease due to disturbed metabolism and osmotic  imbalance.  Erythrocytic cellular abnormalities (ECA), erythrocytic nuclear abnormalities (ENA) may may also rise due to elevated temparature.  So, higher temperature alters hemato-biochemical parameters by affecting the  fish’s respiration, metabolism, and stress response.
Rubrics","Excellent (2): Briefly describes the scientific process and altered parameters in an orderly manner | Good (1.75): Mentions the altered parameters properly, but does not mention the reasons | Average (1.25-1.5):  Mention 1 or 2  parameters properly and does not explain the cause also | Poor (=<1): Mention incomplete and irrelevant data"
343_c0,0,Understanding of Concept,4.0,rater2,,343,images/343.png,"Question 1. You are given the following values: 12, -5.4, 10000, 3.14, 0, 87, -200, 45.6, 999, 1.2. Choose the most efficient among Counting Sort, Radix Sort, or Bucket Sort for this dataset. Justify your selection and state the time and space complexity of all three algorithms.
2. A directed weighted graph is given below. Determine whether the graph contains a negative cycle using a step-by-step solution. Graph (text form): Vertices = {A, B, C, D}; Edges = A→B (4), B→C (-6), C→D (2), D→B (1), A→D (5).
3. You are given coin denominations: 1, 3, 4, 5. Find the minimum number of coins required to make 10 taka. Show the DP table and derive the final answer.","Answer 1: Bucket Sort is the most efficient for this dataset because it contains floating-point numbers and a wide range of values including negatives. Counting Sort is not suitable due to large range and non-integers, and Radix Sort is inefficient for floating-point values. Time Complexity: Counting Sort = O(n + k), Space = O(k); Radix Sort = O(d(n + k)), Space = O(n + k); Bucket Sort = O(n + k) average, worst O(n²), Space = O(n + k). Therefore, Bucket Sort is preferred.
Answer 2: Using Bellman-Ford algorithm: Step 1 initialize distances (A=0, others=∞). Step 2 relax edges repeatedly: A→B (4), B→C (-6), C→D (2), D→B (1). After V-1 iterations, distances keep decreasing due to cycle B→C→D→B with total weight (-6 + 2 + 1 = -3). Step 3 one more relaxation still reduces distance, confirming a negative cycle exists. Therefore, the graph contains a negative cycle.
Answer 3: Using Dynamic Programming: Let dp[x] = minimum coins to make x. Initialize dp[0]=0. Fill table up to 10: dp[1]=1, dp[2]=2, dp[3]=1, dp[4]=1, dp[5]=1, dp[6]=2, dp[7]=2, dp[8]=2, dp[9]=2, dp[10]=2. Minimum coins for 10 = 2 (5+5 or 4+3+3 is larger). Final answer: 2 coins.
Rubrics",Excellent (4): Fully correct and clearly demonstrates the concept | Good (3): Mostly correct with minor issues | Average (2): Partial understanding | Poor (1): Shows little understanding; answer mostly incorrect
343_c1,1,Step-by-Step Procedure,4.0,rater2,,343,images/343.png,"Question 1. You are given the following values: 12, -5.4, 10000, 3.14, 0, 87, -200, 45.6, 999, 1.2. Choose the most efficient among Counting Sort, Radix Sort, or Bucket Sort for this dataset. Justify your selection and state the time and space complexity of all three algorithms.
2. A directed weighted graph is given below. Determine whether the graph contains a negative cycle using a step-by-step solution. Graph (text form): Vertices = {A, B, C, D}; Edges = A→B (4), B→C (-6), C→D (2), D→B (1), A→D (5).
3. You are given coin denominations: 1, 3, 4, 5. Find the minimum number of coins required to make 10 taka. Show the DP table and derive the final answer.","Answer 1: Bucket Sort is the most efficient for this dataset because it contains floating-point numbers and a wide range of values including negatives. Counting Sort is not suitable due to large range and non-integers, and Radix Sort is inefficient for floating-point values. Time Complexity: Counting Sort = O(n + k), Space = O(k); Radix Sort = O(d(n + k)), Space = O(n + k); Bucket Sort = O(n + k) average, worst O(n²), Space = O(n + k). Therefore, Bucket Sort is preferred.
Answer 2: Using Bellman-Ford algorithm: Step 1 initialize distances (A=0, others=∞). Step 2 relax edges repeatedly: A→B (4), B→C (-6), C→D (2), D→B (1). After V-1 iterations, distances keep decreasing due to cycle B→C→D→B with total weight (-6 + 2 + 1 = -3). Step 3 one more relaxation still reduces distance, confirming a negative cycle exists. Therefore, the graph contains a negative cycle.
Answer 3: Using Dynamic Programming: Let dp[x] = minimum coins to make x. Initialize dp[0]=0. Fill table up to 10: dp[1]=1, dp[2]=2, dp[3]=1, dp[4]=1, dp[5]=1, dp[6]=2, dp[7]=2, dp[8]=2, dp[9]=2, dp[10]=2. Minimum coins for 10 = 2 (5+5 or 4+3+3 is larger). Final answer: 2 coins.
Rubrics",Excellent (4): All steps clearly shown and well structured | Good (3): Mostly correct steps | Average (2): Few correct steps | Poor (1): Missing or wrong steps
343_c2,2,Accuracy of Final Answer,4.0,rater2,,343,images/343.png,"Question 1. You are given the following values: 12, -5.4, 10000, 3.14, 0, 87, -200, 45.6, 999, 1.2. Choose the most efficient among Counting Sort, Radix Sort, or Bucket Sort for this dataset. Justify your selection and state the time and space complexity of all three algorithms.
2. A directed weighted graph is given below. Determine whether the graph contains a negative cycle using a step-by-step solution. Graph (text form): Vertices = {A, B, C, D}; Edges = A→B (4), B→C (-6), C→D (2), D→B (1), A→D (5).
3. You are given coin denominations: 1, 3, 4, 5. Find the minimum number of coins required to make 10 taka. Show the DP table and derive the final answer.","Answer 1: Bucket Sort is the most efficient for this dataset because it contains floating-point numbers and a wide range of values including negatives. Counting Sort is not suitable due to large range and non-integers, and Radix Sort is inefficient for floating-point values. Time Complexity: Counting Sort = O(n + k), Space = O(k); Radix Sort = O(d(n + k)), Space = O(n + k); Bucket Sort = O(n + k) average, worst O(n²), Space = O(n + k). Therefore, Bucket Sort is preferred.
Answer 2: Using Bellman-Ford algorithm: Step 1 initialize distances (A=0, others=∞). Step 2 relax edges repeatedly: A→B (4), B→C (-6), C→D (2), D→B (1). After V-1 iterations, distances keep decreasing due to cycle B→C→D→B with total weight (-6 + 2 + 1 = -3). Step 3 one more relaxation still reduces distance, confirming a negative cycle exists. Therefore, the graph contains a negative cycle.
Answer 3: Using Dynamic Programming: Let dp[x] = minimum coins to make x. Initialize dp[0]=0. Fill table up to 10: dp[1]=1, dp[2]=2, dp[3]=1, dp[4]=1, dp[5]=1, dp[6]=2, dp[7]=2, dp[8]=2, dp[9]=2, dp[10]=2. Minimum coins for 10 = 2 (5+5 or 4+3+3 is larger). Final answer: 2 coins.
Rubrics",Excellent (4): Fully accurate and justified | Good (3): Mostly correct | Average (2): Partially correct | Poor (1): Wrong result
